right,left,light index,add,sub,light
891.06,2923.75,0,2923.75,2923.75,150
887.04,2928.59,0,2928.59,2928.59,150
874.15,2928.59,0,2928.59,2928.59,150
872.53,2962.43,0,2962.43,2962.43,150
881.4,2941.48,0,2941.48,2941.48,150
865.28,2944.7,0,2944.7,2944.7,150
871.73,2938.26,0,2938.26,2938.26,150
866.89,2952.76,0,2952.76,2952.76,150
876.56,2938.26,0,2938.26,2938.26,150
873.34,2928.59,0,2928.59,2928.59,150
863.67,2941.48,0,2941.48,2941.48,150
863.67,2926.98,0,2926.98,2926.98,150
866.09,2923.75,0,2923.75,2923.75,150
870.12,2926.17,0,2926.17,2926.17,150
868.51,2936.65,0,2936.65,2936.65,150
868.51,2938.26,0,2938.26,2938.26,150
865.28,2947.92,0,2947.92,2947.92,150
866.09,2938.26,0,2938.26,2938.26,150
864.48,2941.48,0,2941.48,2941.48,150
863.67,2922.14,0,2922.14,2922.14,150
864.48,2938.26,0,2938.26,2938.26,150
860.45,2935.03,0,2935.03,2935.03,150
861.25,2925.37,0,2925.37,2925.37,150
854.81,2925.37,0,2925.37,2925.37,150
858.03,2918.92,0,2918.92,2918.92,150
852.39,2886.69,0,2886.69,2886.69,150
863.67,2912.48,0,2912.48,2912.48,150
864.48,2941.48,0,2941.48,2941.48,150
863.67,2926.17,0,2926.17,2926.17,150
860.45,2926.98,0,2926.98,2926.98,150
871.73,2923.75,0,2923.75,2923.75,150
866.89,2906.03,0,2906.03,2906.03,150
863.67,2901.2,0,2901.2,2901.2,150
873.34,2922.14,0,2922.14,2922.14,150
865.28,2886.69,0,2886.69,2886.69,150
868.51,2909.25,0,2909.25,2909.25,150
866.09,2918.92,0,2918.92,2918.92,150
864.48,2923.75,0,2923.75,2923.75,150
862.06,2923.75,0,2923.75,2923.75,150
864.48,2912.48,0,2912.48,2912.48,150
876.56,2902.81,0,2902.81,2902.81,150
860.45,2912.48,0,2912.48,2912.48,150
859.64,2906.03,0,2906.03,2906.03,150
845.14,2909.25,0,2909.25,2909.25,150
868.51,2886.69,0,2886.69,2886.69,150
863.67,2886.69,0,2886.69,2886.69,150
851.59,2885.89,0,2885.89,2885.89,150
861.25,2886.69,0,2886.69,2886.69,150
857.23,2886.69,0,2886.69,2886.69,150
861.25,2886.69,0,2886.69,2886.69,150
854,2918.92,0,2918.92,2918.92,150
863.67,2879.44,0,2879.44,2879.44,150
864.48,2883.47,0,2883.47,2883.47,150
858.84,2878.64,0,2878.64,2878.64,150
850.78,2877.03,0,2877.03,2877.03,150
855.62,2860.91,0,2860.91,2860.91,150
857.23,2860.11,0,2860.11,2860.11,150
855.62,2880.25,0,2880.25,2880.25,150
857.23,2860.91,0,2860.91,2860.91,150
852.39,2860.91,0,2860.91,2860.91,150
858.03,2849.63,0,2849.63,2849.63,150
858.84,2849.63,0,2849.63,2849.63,150
845.95,2860.91,0,2860.91,2860.91,150
849.17,2874.61,0,2874.61,2874.61,150
853.2,2873.8,0,2873.8,2873.8,150
855.62,2848.02,0,2848.02,2848.02,150
866.09,2860.91,0,2860.91,2860.91,150
862.06,2844.8,0,2844.8,2844.8,150
871.73,2867.36,0,2867.36,2867.36,150
866.89,2831.91,0,2831.91,2831.91,150
863.67,2841.58,0,2841.58,2841.58,150
863.67,2841.58,0,2841.58,2841.58,150
863.67,2828.69,0,2828.69,2828.69,150
863.67,2825.46,0,2825.46,2825.46,150
863.67,2841.58,0,2841.58,2841.58,150
857.23,2841.58,0,2841.58,2841.58,150
863.67,2825.46,0,2825.46,2825.46,150
858.84,2835.13,0,2835.13,2835.13,150
845.95,2820.63,0,2820.63,2820.63,150
854.81,2835.13,0,2835.13,2835.13,150
858.84,2828.69,1,2829.69,2827.69,90
866.09,2814.18,1,2815.18,2813.18,90
863.67,2812.57,1,2813.57,2811.57,90
866.89,2802.91,1,2803.91,2801.91,90
876.56,2822.24,1,2823.24,2821.24,90
871.73,2783.57,1,2784.57,2782.57,90
858.03,2798.88,1,2799.88,2797.88,90
854.81,2796.46,1,2797.46,2795.46,90
863.67,2781.96,1,2782.96,2780.96,90
850.78,2781.96,1,2782.96,2780.96,90
845.95,2783.57,1,2784.57,2782.57,90
858.03,2777.12,1,2778.12,2776.12,90
847.56,2773.9,1,2774.9,2772.9,90
847.56,2798.07,1,2799.07,2797.07,90
855.62,2783.57,1,2784.57,2782.57,90
858.84,2773.9,1,2774.9,2772.9,90
848.36,2777.12,1,2778.12,2776.12,90
845.95,2772.29,1,2773.29,2771.29,90
