right,left,lighting led pin,add,sub,light
883.01,3109.06,0,3992.07,-2226.05,150
898.32,3092.94,0,3991.26,-2194.62,150
895.9,3099.39,0,3995.29,-2203.49,150
897.51,3092.94,0,3990.45,-2195.43,150
965.19,3212.18,0,4177.37,-2246.99,150
902.34,3092.94,0,3995.28,-2190.6,150
895.9,3063.94,0,3959.84,-2168.04,150
889.45,3076.83,0,3966.28,-2187.38,150
889.45,3086.5,0,3975.95,-2197.05,150
886.23,3092.94,0,3979.17,-2206.71,150
879.79,3107.45,0,3987.24,-2227.66,150
893.48,3080.05,0,3973.53,-2186.57,150
902.34,3092.94,0,3995.28,-2190.6,150
892.68,3092.94,0,3985.62,-2200.26,150
888.65,3092.94,0,3981.59,-2204.29,150
882.2,3099.39,0,3981.59,-2217.19,150
883.01,3112.28,0,3995.29,-2229.27,150
889.45,3092.94,0,3982.39,-2203.49,150
878.17,3086.5,0,3964.67,-2208.33,150
883.01,3092.94,0,3975.95,-2209.93,150
890.26,3101.81,0,3992.07,-2211.55,150
880.59,3099.39,0,3979.98,-2218.8,150
884.62,3092.94,0,3977.56,-2208.32,150
884.62,3092.14,0,3976.76,-2207.52,150
866.89,3089.72,0,3956.61,-2222.83,150
873.34,3067.16,0,3940.5,-2193.82,150
882.2,3067.16,0,3949.36,-2184.96,150
871.73,3054.27,0,3926,-2182.54,150
882.2,3059.11,0,3941.31,-2176.91,150
883.01,3047.83,0,3930.84,-2164.82,150
876.56,3041.38,0,3917.94,-2164.82,150
881.4,3060.72,0,3942.12,-2179.32,150
876.56,3054.27,0,3930.83,-2177.71,150
878.17,3047.83,0,3926,-2169.66,150
886.23,3041.38,0,3927.61,-2155.15,150
883.01,3055.88,0,3938.89,-2172.87,150
883.01,3060.72,0,3943.73,-2177.71,150
884.62,3034.94,0,3919.56,-2150.32,150
891.06,3033.33,0,3924.39,-2142.27,150
892.68,3028.49,0,3921.17,-2135.81,150
880.59,3067.16,0,3947.75,-2186.57,150
887.04,3052.66,0,3939.7,-2165.62,150
887.04,3047.83,0,3934.87,-2160.79,150
889.45,3038.16,0,3927.61,-2148.71,150
889.45,3041.38,0,3930.83,-2151.93,150
894.29,3022.05,0,3916.34,-2127.76,150
891.06,3034.94,0,3926,-2143.88,150
894.29,3054.27,0,3948.56,-2159.98,150
889.45,3009.16,0,3898.61,-2119.71,150
889.45,3028.49,0,3917.94,-2139.04,150
890.26,3031.71,0,3921.97,-2141.45,150
889.45,3041.38,0,3930.83,-2151.93,150
880.59,3034.94,0,3915.53,-2154.35,150
877.37,3031.71,0,3909.08,-2154.34,150
889.45,3009.16,0,3898.61,-2119.71,150
895.9,3031.71,0,3927.61,-2135.81,150
889.45,3028.49,0,3917.94,-2139.04,150
895.09,3025.27,0,3920.36,-2130.18,150
890.26,3041.38,0,3931.64,-2151.12,150
891.06,3059.11,0,3950.17,-2168.05,150
899.12,3054.27,2,3953.39,-2155.15,30
890.26,3047.83,2,3938.09,-2157.57,30
895.9,3047.83,2,3943.73,-2151.93,30
883.01,3022.05,2,3905.06,-2139.04,30
863.67,3004.32,2,3867.99,-2140.65,30
863.67,2970.48,2,3834.15,-2106.81,30
863.67,2964.04,2,3827.71,-2100.37,30
864.48,2957.59,2,3822.07,-2093.11,30
863.67,2957.59,2,3821.26,-2093.92,30
870.12,2931.81,2,3801.93,-2061.69,30
852.39,2951.15,2,3803.54,-2098.76,30
850.78,2951.15,2,3801.93,-2100.37,30
852.39,2947.92,2,3800.31,-2095.53,30
873.34,2957.59,2,3830.93,-2084.25,30
864.48,2954.37,2,3818.85,-2089.89,30
870.92,2944.7,2,3815.62,-2073.78,30
876.56,2954.37,2,3830.93,-2077.81,30
876.56,2957.59,2,3834.15,-2081.03,30
887.04,2957.59,2,3844.63,-2070.55,30
878.98,2964.04,2,3843.02,-2085.06,30
883.81,2938.26,0,3822.07,-2054.45,150
883.81,2957.59,0,3841.4,-2073.78,150
865.28,3051.05,0,3916.33,-2185.77,150
913.62,3047.83,0,3961.45,-2134.21,150
928.12,3054.27,0,3982.39,-2126.15,150
912.01,3133.23,0,4045.24,-2221.22,150
902.34,3105.83,0,4008.17,-2203.49,150
978.08,3144.51,0,4122.59,-2166.43,150
904.76,3030.1,0,3934.86,-2125.34,150
878.17,3080.05,0,3958.22,-2201.88,150
890.26,3080.05,0,3970.31,-2189.79,150
903.96,3081.67,0,3985.63,-2177.71,150
899.12,3073.61,0,3972.73,-2174.49,150
904.76,3089.72,0,3994.48,-2184.96,150
917.65,3092.94,0,4010.59,-2175.29,150
902.34,3117.11,0,4019.45,-2214.77,150
915.23,3092.94,0,4008.17,-2177.71,150
900.73,3092.94,0,3993.67,-2192.21,150
915.23,3092.94,0,4008.17,-2177.71,150
907.18,3086.5,0,3993.68,-2179.32,150
904.76,3105.83,1,4010.59,-2201.07,90
902.34,3118.73,1,4021.07,-2216.39,90
895.9,3076.83,1,3972.73,-2180.93,90
890.26,3073.61,1,3963.87,-2183.35,90
891.87,3083.28,1,3975.15,-2191.41,90
896.7,3067.16,1,3963.86,-2170.46,90
902.34,3060.72,1,3963.06,-2158.38,90
907.18,3081.67,1,3988.85,-2174.49,90
884.62,3086.5,1,3971.12,-2201.88,90
890.26,3076.83,1,3967.09,-2186.57,90
889.45,3067.16,1,3956.61,-2177.71,90
889.45,3067.16,1,3956.61,-2177.71,90
886.23,3105.83,1,3992.06,-2219.6,90
902.34,3091.33,1,3993.67,-2188.99,90
881.4,3092.94,1,3974.34,-2211.54,90
889.45,3076.83,1,3966.28,-2187.38,90
902.34,3067.16,1,3969.5,-2164.82,90
903.96,3081.67,1,3985.63,-2177.71,90
902.34,3092.94,1,3995.28,-2190.6,90
892.68,3080.05,1,3972.73,-2187.37,90
890.26,3054.27,0,3944.53,-2164.01,150
889.45,3075.22,0,3964.67,-2185.77,150
887.84,3099.39,0,3987.23,-2211.55,150
889.45,3073.61,0,3963.06,-2184.16,150
889.45,3112.28,0,4001.73,-2222.83,150
