left,right,add,sub
1438.92,1455.83,2894.75,-16.91
1440.53,1444.56,2885.09,-4.03
1442.94,1457.45,2900.39,-14.51
1436.5,1439.72,2876.22,-3.22
1433.28,1443.75,2877.03,-10.47
1441.33,1453.42,2894.75,-12.09
1445.36,1451,2896.36,-5.64
1452.61,1456.64,2909.25,-4.03
1443.75,1444.56,2888.31,-0.81
1413.13,1441.33,2854.46,-28.2
1439.72,1462.28,2902,-22.56
1431.67,1456.64,2888.31,-24.97
1452.61,1460.67,2913.28,-8.06
1438.92,1456.64,2895.56,-17.72
1444.56,1453.42,2897.98,-8.86
1446.17,1465.5,2911.67,-19.33
1428.44,1465.5,2893.94,-37.06
1443.75,1460.67,2904.42,-16.92
1442.94,1474.37,2917.31,-31.43
1431.67,1465.5,2897.17,-33.83
1442.94,1471.14,2914.08,-28.2
1447.78,1444.56,2892.34,3.22
1444.56,1456.64,2901.2,-12.08
1441.33,1455.03,2896.36,-13.7
1448.58,1462.28,2910.86,-13.7
1441.33,1463.89,2905.22,-22.56
1456.64,1447.78,2904.42,8.86
1452.61,1454.22,2906.83,-1.61
1443.75,1444.56,2888.31,-0.81
1445.36,1455.03,2900.39,-9.67
1442.94,1444.56,2887.5,-1.62
1431.67,1455.03,2886.7,-23.36
1440.53,1452.61,2893.14,-12.08
1438.92,1451,2889.92,-12.08
1438.11,1454.22,2892.33,-16.11
1443.75,1441.33,2885.08,2.42
1441.33,1447.78,2889.11,-6.45
1442.94,1451.81,2894.75,-8.87
1445.36,1442.94,2888.3,2.42
1443.75,1444.56,2888.31,-0.81
1432.47,1443.75,2876.22,-11.28
1434.89,1440.53,2875.42,-5.64
1432.47,1442.94,2875.41,-10.47
1430.86,1433.28,2864.14,-2.42
1430.86,1446.17,2877.03,-15.31
1457.45,1452.61,2910.06,4.84
1445.36,1446.97,2892.33,-1.61
1442.94,1449.39,2892.33,-6.45
1460.67,1454.22,2914.89,6.45
1443.75,1434.89,2878.64,8.86
1456.64,1459.86,2916.5,-3.22
1465.5,1423.61,2889.11,41.89
1453.42,1453.42,2906.84,0
1438.92,1445.36,2884.28,-6.44
1441.33,1459.06,2900.39,-17.73
1451.81,1443.75,2895.56,8.06
1441.33,1456.64,2897.97,-15.31
1446.17,1425.22,2871.39,20.95
1447.78,1446.97,2894.75,0.81
1430.86,1448.58,2879.44,-17.72
1459.06,1449.39,2908.45,9.67
1468.73,1442.94,2911.67,25.79
1455.83,1435.69,2891.52,20.14
1460.67,1447.78,2908.45,12.89
1478.39,1443.75,2922.14,34.64
1455.03,1452.61,2907.64,2.42
1455.83,1442.94,2898.77,12.89
1457.45,1456.64,2914.09,0.81
1459.06,1430.05,2889.11,29.01
1457.45,1455.03,2912.48,2.42
1445.36,1459.06,2904.42,-13.7
1454.22,1444.56,2898.78,9.66
1448.58,1459.06,2907.64,-10.48
1458.25,1451.81,2910.06,6.44
1457.45,1463.89,2921.34,-6.44
