left,right,add,sub
1488.06,1481.62,2969.68,6.44
1482.42,1481.62,2964.04,0.8
1471.95,1484.84,2956.79,-12.89
1482.42,1473.56,2955.98,8.86
1460.67,1471.14,2931.81,-10.47
1452.61,1467.11,2919.72,-14.5
1481.62,1474.37,2955.99,7.25
1479.2,1475.17,2954.37,4.03
1473.56,1463.89,2937.45,9.67
1471.95,1473.56,2945.51,-1.61
1468.73,1459.06,2927.79,9.67
1462.28,1467.92,2930.2,-5.64
1451,1464.7,2915.7,-13.7
1482.42,1471.95,2954.37,10.47
1470.34,1456.64,2926.98,13.7
1472.75,1470.34,2943.09,2.41
1457.45,1471.95,2929.4,-14.5
1483.23,1471.95,2955.18,11.28
1483.23,1475.17,2958.4,8.06
1470.34,1466.31,2936.65,4.03
1448.58,1442.14,2890.72,6.44
1413.13,1397.02,2810.15,16.11
1405.08,1387.35,2792.43,17.73
1354.32,1353.52,2707.84,0.8
1356.74,1327.73,2684.47,29.01
1353.52,1327.73,2681.25,25.79
1351.9,1353.52,2705.42,-1.62
1365.6,1323.71,2689.31,41.89
1363.99,1340.63,2704.62,23.36
1355.13,1345.46,2700.59,9.67
1353.52,1342.24,2695.76,11.28
1378.49,1352.71,2731.2,25.78
1364.79,1355.93,2720.72,8.86
1366.41,1366.41,2732.82,0
1366.41,1359.16,2725.57,7.25
1359.16,1365.6,2724.76,-6.44
1361.57,1362.38,2723.95,-0.81
1367.21,1376.88,2744.09,-9.67
1376.88,1374.46,2751.34,2.42
1363.99,1379.3,2743.29,-15.31
1388.16,1373.66,2761.82,14.5
1384.13,1370.43,2754.56,13.7
1384.94,1377.69,2762.63,7.25
1388.16,1389.77,2777.93,-1.61
1374.46,1378.49,2752.95,-4.03
1396.22,1384.94,2781.16,11.28
1396.22,1379.3,2775.52,16.92
1396.22,1389.77,2785.99,6.45
1391.38,1389.77,2781.15,1.61
1379.3,1393.8,2773.1,-14.5
1379.3,1380.1,2759.4,-0.8
1392.19,1384.94,2777.13,7.25
1405.08,1392.19,2797.27,12.89
1401.05,1402.66,2803.71,-1.61
1391.38,1397.83,2789.21,-6.45
1384.94,1379.3,2764.24,5.64
1397.83,1392.99,2790.82,4.84
1395.41,1375.27,2770.68,20.14
1388.16,1383.33,2771.49,4.83
1380.1,1379.3,2759.4,0.8
1397.83,1391.38,2789.21,6.45
1391.38,1387.35,2778.73,4.03
1386.55,1404.27,2790.82,-17.72
1388.16,1405.88,2794.04,-17.72
1392.99,1404.27,2797.26,-11.28
1383.33,1404.27,2787.6,-20.94
1381.71,1382.52,2764.23,-0.81
1373.66,1391.38,2765.04,-17.72
1381.71,1383.33,2765.04,-1.62
1383.33,1403.47,2786.8,-20.14
1384.94,1399.44,2784.38,-14.5
1370.43,1401.05,2771.48,-30.62
1405.88,1408.3,2814.18,-2.42
1398.63,1397.83,2796.46,0.8
1409.91,1407.5,2817.41,2.41
1435.69,1409.11,2844.8,26.58
1452.61,1425.22,2877.83,27.39
1541.24,1523.51,3064.75,17.73
1564.6,1551.71,3116.31,12.89
1542.85,1513.84,3056.69,29.01
1568.63,1571.04,3139.67,-2.41
1555.74,1546.88,3102.62,8.86
1542.85,1542.85,3085.7,0
1533.98,1535.6,3069.58,-1.62
1523.51,1542.85,3066.36,-19.34
1518.68,1518.68,3037.36,0
1519.48,1526.73,3046.21,-7.25
1516.26,1519.48,3035.74,-3.22
1520.29,1518.68,3038.97,1.61
1518.68,1522.71,3041.39,-4.03
1525.93,1533.18,3059.11,-7.25
1515.45,1519.48,3034.93,-4.03
1512.23,1518.68,3030.91,-6.45
1513.84,1528.34,3042.18,-14.5
1520.29,1506.59,3026.88,13.7
1513.04,1512.23,3025.27,0.81
1502.56,1518.68,3021.24,-16.12
1510.62,1512.23,3022.85,-1.61
1499.34,1505.79,3005.13,-6.45
1500.15,1505.79,3005.94,-5.64
1512.23,1509.01,3021.24,3.22
1492.9,1494.51,2987.41,-1.61
1494.51,1512.23,3006.74,-17.72
1482.42,1495.31,2977.73,-12.89
1483.23,1500.15,2983.38,-16.92
1490.48,1496.92,2987.4,-6.44
1485.64,1483.23,2968.87,2.41
1485.64,1503.37,2989.01,-17.73
1477.59,1487.26,2964.85,-9.67
1482.42,1496.12,2978.54,-13.7
1487.26,1487.26,2974.52,0
1482.42,1488.06,2970.48,-5.64
1495.31,1495.31,2990.62,0
1480.81,1492.09,2972.9,-11.28
1482.42,1471.95,2954.37,10.47
1471.14,1474.37,2945.51,-3.23
1460.67,1480.81,2941.48,-20.14
1468.73,1480,2948.73,-11.27
1473.56,1478.39,2951.95,-4.83
1476.78,1481.62,2958.4,-4.84
1471.95,1480,2951.95,-8.05
1465.5,1484.03,2949.53,-18.53
1468.73,1471.95,2940.68,-3.22
1456.64,1467.92,2924.56,-11.28
1467.11,1466.31,2933.42,0.8
1461.47,1464.7,2926.17,-3.23
1465.5,1471.95,2937.45,-6.45
1457.45,1462.28,2919.73,-4.83
1463.89,1460.67,2924.56,3.22
1474.37,1456.64,2931.01,17.73
1455.83,1455.83,2911.66,0
1460.67,1479.2,2939.87,-18.53
1463.89,1460.67,2924.56,3.22
1438.92,1429.25,2868.17,9.67
1396.22,1395.41,2791.63,0.81
1342.24,1349.49,2691.73,-7.25
1341.43,1336.6,2678.03,4.83
1343.85,1333.37,2677.22,10.48
1329.35,1341.43,2670.78,-12.08
1332.57,1327.73,2660.3,4.84
1351.1,1343.85,2694.95,7.25
1351.1,1342.24,2693.34,8.86
1347.88,1342.24,2690.12,5.64
1356.74,1345.46,2702.2,11.28
1358.35,1351.1,2709.45,7.25
1341.43,1355.93,2697.36,-14.5
1366.41,1349.49,2715.9,16.92
1339.82,1357.54,2697.36,-17.72
1380.91,1348.68,2729.59,32.23
1396.22,1349.49,2745.71,46.73
1382.52,1353.52,2736.04,29
1373.66,1369.63,2743.29,4.03
1384.13,1346.26,2730.39,37.87
1401.86,1378.49,2780.35,23.37
1404.27,1361.57,2765.84,42.7
1398.63,1358.35,2756.98,40.28
1405.08,1351.1,2756.18,53.98
1389.77,1360.77,2750.54,29
1394.6,1363.99,2758.59,30.61
1401.05,1379.3,2780.35,21.75
1404.27,1371.24,2775.51,33.03
1399.44,1373.66,2773.1,25.78
1418.77,1387.35,2806.12,31.42
1413.13,1384.94,2798.07,28.19
1417.97,1374.46,2792.43,43.51
