left,right,add,sub
1410.72,1372.85,2783.57,37.87
1407.5,1379.3,2786.8,28.2
1418.77,1371.24,2790.01,47.53
1412.33,1380.1,2792.43,32.23
1414.75,1378.49,2793.24,36.26
1428.44,1375.27,2803.71,53.17
1409.91,1379.3,2789.21,30.61
1413.13,1383.33,2796.46,29.8
1404.27,1380.1,2784.37,24.17
1402.66,1379.3,2781.96,23.36
1405.88,1393.8,2799.68,12.08
1420.39,1397.02,2817.41,23.37
1396.22,1383.33,2779.55,12.89
1405.08,1399.44,2804.52,5.64
1399.44,1379.3,2778.74,20.14
1389.77,1389.77,2779.54,0
1407.5,1389.77,2797.27,17.73
1403.47,1390.58,2794.05,12.89
1405.08,1397.83,2802.91,7.25
1415.55,1401.05,2816.6,14.5
1422,1418.77,2840.77,3.23
1417.97,1413.94,2831.91,4.03
1426.83,1426.83,2853.66,0
1430.86,1418.77,2849.63,12.09
1435.69,1415.55,2851.24,20.14
1453.42,1417.16,2870.58,36.26
1435.69,1409.11,2844.8,26.58
1430.05,1426.03,2856.08,4.02
1447.78,1423.61,2871.39,24.17
1444.56,1412.33,2856.89,32.23
1438.11,1417.16,2855.27,20.95
1437.3,1430.05,2867.35,7.25
1430.05,1428.44,2858.49,1.61
1442.94,1428.44,2871.38,14.5
1437.3,1418.77,2856.07,18.53
1451,1445.36,2896.36,5.64
1456.64,1430.86,2887.5,25.78
1432.47,1431.67,2864.14,0.8
1444.56,1433.28,2877.84,11.28
1460.67,1442.14,2902.81,18.53
1447.78,1442.14,2889.92,5.64
1454.22,1457.45,2911.67,-3.23
1468.73,1456.64,2925.37,12.09
1484.84,1517.07,3001.91,-32.23
1492.9,1542.85,3035.75,-49.95
1508.2,1568.63,3076.83,-60.43
1513.84,1567.82,3081.66,-53.98
1515.45,1545.26,3060.71,-29.81
1505.79,1585.55,3091.34,-79.76
1520.29,1590.38,3110.67,-70.09
1523.51,1558.96,3082.47,-35.45
1531.57,1565.41,3096.98,-33.84
1520.29,1560.57,3080.86,-40.28
1526.73,1553.32,3080.05,-26.59
1513.84,1554.13,3067.97,-40.29
1508.2,1561.38,3069.58,-53.18
1520.29,1552.51,3072.8,-32.22
1518.68,1544.46,3063.14,-25.78
1504.17,1552.51,3056.68,-48.34
1506.59,1538.82,3045.41,-32.23
1502.56,1549.29,3051.85,-46.73
1504.17,1536.4,3040.57,-32.23
1507.4,1528.34,3035.74,-20.94
1507.4,1534.79,3042.19,-27.39
1499.34,1542.85,3042.19,-43.51
1500.95,1522.71,3023.66,-21.76
1494.51,1533.98,3028.49,-39.47
1485.64,1518.68,3004.32,-33.04
1494.51,1533.98,3028.49,-39.47
1482.42,1533.18,3015.6,-50.76
1486.45,1523.51,3009.96,-37.06
1492.09,1522.71,3014.8,-30.62
1475.17,1517.07,2992.24,-41.9
1482.42,1515.45,2997.87,-33.03
1481.62,1517.07,2998.69,-35.45
1482.42,1536.4,3018.82,-53.98
1485.64,1517.07,3002.71,-31.43
1481.62,1526.73,3008.35,-45.11
1483.23,1518.68,3001.91,-35.45
1482.42,1503.37,2985.79,-20.95
1483.23,1503.37,2986.6,-20.14
1467.11,1508.2,2975.31,-41.09
1484.03,1506.59,2990.62,-22.56
1482.42,1495.31,2977.73,-12.89
1471.95,1517.07,2989.02,-45.12
1467.11,1513.04,2980.15,-45.93
1467.11,1513.04,2980.15,-45.93
1475.98,1497.73,2973.71,-21.75
1480,1513.04,2993.04,-33.04
1458.25,1499.34,2957.59,-41.09
1481.62,1499.34,2980.96,-17.72
1483.23,1507.4,2990.63,-24.17
1456.64,1486.45,2943.09,-29.81
1452.61,1500.15,2952.76,-47.54
1475.17,1505.79,2980.96,-30.62
1468.73,1512.23,2980.96,-43.5
1473.56,1494.51,2968.07,-20.95
1457.45,1495.31,2952.76,-37.86
1500.95,1508.2,3009.15,-7.25
1471.95,1481.62,2953.57,-9.67
1438.11,1438.11,2876.22,0
1422.8,1409.11,2831.91,13.69
1404.27,1393.8,2798.07,10.47
1386.55,1392.19,2778.74,-5.64
1384.13,1383.33,2767.46,0.8
1380.91,1379.3,2760.21,1.61
1370.43,1363.18,2733.61,7.25
1366.41,1383.33,2749.74,-16.92
1358.35,1379.3,2737.65,-20.95
1377.69,1358.35,2736.04,19.34
1379.3,1365.6,2744.9,13.7
1384.94,1360.77,2745.71,24.17
1392.19,1358.35,2750.54,33.84
1384.94,1364.79,2749.73,20.15
1392.99,1363.99,2756.98,29
1383.33,1368.82,2752.15,14.51
1400.24,1370.43,2770.67,29.81
1405.08,1368.82,2773.9,36.26
1389.77,1378.49,2768.26,11.28
1392.19,1381.71,2773.9,10.48
1405.08,1381.71,2786.79,23.37
1396.22,1374.46,2770.68,21.76
1396.22,1380.91,2777.13,15.31
1402.66,1376.07,2778.73,26.59
1392.99,1386.55,2779.54,6.44
1393.8,1390.58,2784.38,3.22
1400.24,1394.6,2794.84,5.64
1399.44,1376.07,2775.51,23.37
1401.05,1387.35,2788.4,13.7
1405.08,1388.16,2793.24,16.92
1416.36,1392.19,2808.55,24.17
1412.33,1397.02,2809.35,15.31
1411.52,1390.58,2802.1,20.94
1404.27,1384.13,2788.4,20.14
1413.94,1405.08,2819.02,8.86
1418.77,1403.47,2822.24,15.3
1396.22,1407.5,2803.72,-11.28
1406.69,1407.5,2814.19,-0.81
1410.72,1406.69,2817.41,4.03
1415.55,1405.08,2820.63,10.47
1422.8,1413.94,2836.74,8.86
1420.39,1407.5,2827.89,12.89
1429.25,1422,2851.25,7.25
1426.83,1412.33,2839.16,14.5
1431.67,1419.58,2851.25,12.09
1430.05,1407.5,2837.55,22.55
1434.08,1406.69,2840.77,27.39
1414.75,1410.72,2825.47,4.03
1430.86,1405.88,2836.74,24.98
1435.69,1399.44,2835.13,36.25
1425.22,1407.5,2832.72,17.72
1439.72,1426.03,2865.75,13.69
1443.75,1417.97,2861.72,25.78
1456.64,1422.8,2879.44,33.84
1435.69,1405.08,2840.77,30.61
1436.5,1422,2858.5,14.5
1456.64,1426.03,2882.67,30.61
1439.72,1441.33,2881.05,-1.61
1473.56,1491.28,2964.84,-17.72
1493.7,1525.93,3019.63,-32.23
1497.73,1542.85,3040.58,-45.12
1508.2,1552.51,3060.71,-44.31
1497.73,1573.46,3071.19,-75.73
1504.17,1580.71,3084.88,-76.54
1500.15,1569.43,3069.58,-69.28
1503.37,1567.82,3071.19,-64.45
1504.17,1576.68,3080.85,-72.51
1496.92,1576.68,3073.6,-79.76
1496.92,1559.77,3056.69,-62.85
1507.4,1571.04,3078.44,-63.64
1500.95,1567.82,3068.77,-66.87
1500.15,1550.9,3051.05,-50.75
1492.9,1559.77,3052.67,-66.87
1502.56,1559.77,3062.33,-57.21
1492.09,1552.51,3044.6,-60.42
1492.9,1563.79,3056.69,-70.89
1497.73,1554.13,3051.86,-56.4
1519.48,1546.88,3066.36,-27.4
1508.2,1541.24,3049.44,-33.04
1497.73,1534.79,3032.52,-37.06
1499.34,1531.57,3030.91,-32.23
1500.95,1547.68,3048.63,-46.73
1488.06,1539.62,3027.68,-51.56
1500.15,1529.15,3029.3,-29
1502.56,1523.51,3026.07,-20.95
1497.73,1517.07,3014.8,-19.34
1503.37,1521.09,3024.46,-17.72
1495.31,1525.93,3021.24,-30.62
1488.87,1533.18,3022.05,-44.31
1484.84,1549.29,3034.13,-64.45
1477.59,1530.76,3008.35,-53.17
1492.9,1521.9,3014.8,-29
1482.42,1513.04,2995.46,-30.62
1467.92,1509.81,2977.73,-41.89
1468.73,1516.26,2984.99,-47.53
1480,1510.62,2990.62,-30.62
1468.73,1507.4,2976.13,-38.67
1468.73,1494.51,2963.24,-25.78
1477.59,1513.84,2991.43,-36.25
1463.89,1512.23,2976.12,-48.34
1471.14,1508.2,2979.34,-37.06
1462.28,1500.95,2963.23,-38.67
1456.64,1500.15,2956.79,-43.51
1456.64,1482.42,2939.06,-25.78
1456.64,1467.11,2923.75,-10.47
1456.64,1483.23,2939.87,-26.59
1456.64,1492.9,2949.54,-36.26
1446.17,1484.84,2931.01,-38.67
1454.22,1482.42,2936.64,-28.2
1459.86,1493.7,2953.56,-33.84
1487.26,1487.26,2974.52,0
1471.95,1497.73,2969.68,-25.78
1475.17,1487.26,2962.43,-12.09
1480.81,1494.51,2975.32,-13.7
1467.11,1492.09,2959.2,-24.98
1473.56,1487.26,2960.82,-13.7
1472.75,1480.81,2953.56,-8.06
1461.47,1504.17,2965.64,-42.7
1456.64,1497.73,2954.37,-41.09
1456.64,1488.06,2944.7,-31.42
1473.56,1456.64,2930.2,16.92
1430.86,1428.44,2859.3,2.42
1413.94,1406.69,2820.63,7.25
1422.8,1379.3,2802.1,43.5
1410.72,1358.35,2769.07,52.37
1384.13,1355.13,2739.26,29
1384.94,1353.52,2738.46,31.42
1375.27,1348.68,2723.95,26.59
1371.24,1352.71,2723.95,18.53
1374.46,1345.46,2719.92,29
1390.58,1354.32,2744.9,36.26
1379.3,1347.07,2726.37,32.23
1372.05,1366.41,2738.46,5.64
1372.05,1365.6,2737.65,6.45
1389.77,1355.13,2744.9,34.64
1379.3,1357.54,2736.84,21.76
1382.52,1359.16,2741.68,23.36
1390.58,1376.07,2766.65,14.51
1404.27,1360.77,2765.04,43.5
1383.33,1373.66,2756.99,9.67
1406.69,1363.99,2770.68,42.7
1406.69,1365.6,2772.29,41.09
1400.24,1369.63,2769.87,30.61
1391.38,1379.3,2770.68,12.08
1410.72,1379.3,2790.02,31.42
1405.08,1393.8,2798.88,11.28
1405.88,1380.1,2785.98,25.78
1405.08,1379.3,2784.38,25.78
1412.33,1392.99,2805.32,19.34
1413.94,1397.02,2810.96,16.92
1409.11,1392.19,2801.3,16.92
1405.88,1382.52,2788.4,23.36
1401.05,1389.77,2790.82,11.28
1402.66,1391.38,2794.04,11.28
1406.69,1379.3,2785.99,27.39
1409.11,1392.99,2802.1,16.12
1418.77,1400.24,2819.01,18.53
1420.39,1399.44,2819.83,20.95
1417.16,1392.99,2810.15,24.17
1425.22,1393.8,2819.02,31.42
1417.97,1392.19,2810.16,25.78
1409.91,1393.8,2803.71,16.11
1407.5,1410.72,2818.22,-3.22
1409.11,1405.88,2814.99,3.23
1414.75,1406.69,2821.44,8.06
1430.86,1405.88,2836.74,24.98
1417.16,1409.11,2826.27,8.05
1413.13,1413.94,2827.07,-0.81
1419.58,1399.44,2819.02,20.14
1405.08,1416.36,2821.44,-11.28
1416.36,1422.8,2839.16,-6.44
1434.89,1407.5,2842.39,27.39
1409.91,1413.94,2823.85,-4.03
1426.83,1425.22,2852.05,1.61
1419.58,1405.08,2824.66,14.5
1413.13,1415.55,2828.68,-2.42
1425.22,1409.91,2835.13,15.31
1439.72,1435.69,2875.41,4.03
1474.37,1468.73,2943.1,5.64
1478.39,1535.6,3013.99,-57.21
1495.31,1549.29,3044.6,-53.98
1517.07,1594.41,3111.48,-77.34
1486.45,1560.57,3047.02,-74.12
1525.12,1591.19,3116.31,-66.07
1505.79,1583.13,3088.92,-77.34
1533.98,1555.74,3089.72,-21.76
1538.01,1568.63,3106.64,-30.62
1542.85,1561.38,3104.23,-18.53
1533.98,1565.41,3099.39,-31.43
1533.18,1562.18,3095.36,-29
1525.93,1546.07,3072,-20.14
1530.76,1538.82,3069.58,-8.06
1504.17,1538.01,3042.18,-33.84
1504.17,1533.18,3037.35,-29.01
1510.62,1551.71,3062.33,-41.09
1509.01,1531.57,3040.58,-22.56
1505.79,1538.82,3044.61,-33.03
1500.95,1533.98,3034.93,-33.03
1495.31,1526.73,3022.04,-31.42
1499.34,1526.73,3026.07,-27.39
1492.9,1531.57,3024.47,-38.67
1502.56,1521.09,3023.65,-18.53
1475.17,1507.4,2982.57,-32.23
1484.84,1536.4,3021.24,-51.56
1493.7,1515.45,3009.15,-21.75
1483.23,1517.87,3001.1,-34.64
1500.15,1521.9,3022.05,-21.75
1484.03,1508.2,2992.23,-24.17
1480.81,1513.04,2993.85,-32.23
1467.11,1510.62,2977.73,-43.51
1496.92,1533.18,3030.1,-36.26
1488.06,1509.01,2997.07,-20.95
1492.9,1511.43,3004.33,-18.53
1487.26,1510.62,2997.88,-23.36
1474.37,1508.2,2982.57,-33.83
1481.62,1516.26,2997.88,-34.64
1475.17,1512.23,2987.4,-37.06
1493.7,1505.79,2999.49,-12.09
1495.31,1513.04,3008.35,-17.73
1482.42,1508.2,2990.62,-25.78
1497.73,1494.51,2992.24,3.22
1507.4,1484.03,2991.43,23.37
1483.23,1482.42,2965.65,0.81
1490.48,1493.7,2984.18,-3.22
1474.37,1488.06,2962.43,-13.69
1482.42,1483.23,2965.65,-0.81
1468.73,1483.23,2951.96,-14.5
1462.28,1480.81,2943.09,-18.53
1487.26,1482.42,2969.68,4.84
1473.56,1492.9,2966.46,-19.34
1479.2,1485.64,2964.84,-6.44
1490.48,1486.45,2976.93,4.03
1484.03,1482.42,2966.45,1.61
1484.84,1474.37,2959.21,10.47
1480.81,1482.42,2963.23,-1.61
1477.59,1496.92,2974.51,-19.33
1483.23,1503.37,2986.6,-20.14
1476.78,1492.9,2969.68,-16.12
1486.45,1497.73,2984.18,-11.28
1505.79,1493.7,2999.49,12.09
1463.89,1454.22,2918.11,9.67
1436.5,1392.19,2828.69,44.31
1419.58,1393.8,2813.38,25.78
1404.27,1380.91,2785.18,23.36
1402.66,1372.85,2775.51,29.81
1388.96,1380.1,2769.06,8.86
1384.13,1379.3,2763.43,4.83
1384.94,1363.99,2748.93,20.95
1383.33,1359.96,2743.29,23.37
1360.77,1363.99,2724.76,-3.22
1359.16,1359.16,2718.32,0
1375.27,1363.99,2739.26,11.28
1360.77,1355.13,2715.9,5.64
1371.24,1353.52,2724.76,17.72
1363.99,1359.16,2723.15,4.83
1387.35,1358.35,2745.7,29
1375.27,1362.38,2737.65,12.89
1377.69,1363.18,2740.87,14.51
1388.16,1372.05,2760.21,16.11
1383.33,1376.07,2759.4,7.26
1390.58,1368.02,2758.6,22.56
1396.22,1369.63,2765.85,26.59
1385.74,1374.46,2760.2,11.28
1387.35,1384.94,2772.29,2.41
1392.19,1375.27,2767.46,16.92
1405.08,1383.33,2788.41,21.75
1391.38,1380.91,2772.29,10.47
1406.69,1355.93,2762.62,50.76
1403.47,1359.16,2762.63,44.31
1417.97,1367.21,2785.18,50.76
1396.22,1353.52,2749.74,42.7
1409.91,1376.88,2786.79,33.03
1397.02,1374.46,2771.48,22.56
1413.94,1379.3,2793.24,34.64
1388.16,1370.43,2758.59,17.73
1417.16,1366.41,2783.57,50.75
1422.8,1388.16,2810.96,34.64
1434.08,1388.96,2823.04,45.12
1415.55,1401.05,2816.6,14.5
1431.67,1384.13,2815.8,47.54
1430.86,1403.47,2834.33,27.39
1425.22,1392.99,2818.21,32.23
1432.47,1409.91,2842.38,22.56
1428.44,1388.16,2816.6,40.28
1440.53,1401.05,2841.58,39.48
1431.67,1410.72,2842.39,20.95
1442.94,1414.75,2857.69,28.19
1436.5,1409.91,2846.41,26.59
1430.05,1397.83,2827.88,32.22
1425.22,1415.55,2840.77,9.67
1442.94,1401.86,2844.8,41.08
1438.92,1409.11,2848.03,29.81
1431.67,1422,2853.67,9.67
1446.97,1467.92,2914.89,-20.95
1480,1516.26,2996.26,-36.26
1500.15,1533.98,3034.13,-33.83
1507.4,1571.85,3079.25,-64.45
1494.51,1571.04,3065.55,-76.53
1502.56,1559.77,3062.33,-57.21
1512.23,1567.02,3079.25,-54.79
1508.2,1568.63,3076.83,-60.43
1512.23,1558.15,3070.38,-45.92
1502.56,1563.79,3066.35,-61.23
1509.81,1559.77,3069.58,-49.96
1525.93,1558.96,3084.89,-33.03
1526.73,1551.71,3078.44,-24.98
1510.62,1546.88,3057.5,-36.26
1517.07,1546.88,3063.95,-29.81
1496.12,1544.46,3040.58,-48.34
1502.56,1523.51,3026.07,-20.95
1507.4,1525.12,3032.52,-17.72
1504.17,1534.79,3038.96,-30.62
1502.56,1533.98,3036.54,-31.42
1513.84,1525.93,3039.77,-12.09
1481.62,1539.62,3021.24,-58
1500.15,1529.96,3030.11,-29.81
1488.87,1517.87,3006.74,-29
1490.48,1517.07,3007.55,-26.59
1486.45,1521.09,3007.54,-34.64
1491.28,1517.07,3008.35,-25.79
1487.26,1513.84,3001.1,-26.58
1483.23,1524.32,3007.55,-41.09
1508.2,1508.2,3016.4,0
1496.12,1507.4,3003.52,-11.28
