left,right,add,sub
1670.95,1121.48,2792.43,549.47
1666.92,1115.84,2782.76,551.08
1637.11,1131.96,2769.07,505.15
1597.63,1156.93,2754.56,440.7
1556.54,1158.54,2715.08,398
1476.78,1197.22,2674,279.56
1373.66,1281.01,2654.67,92.65
1357.54,1284.23,2641.77,73.31
1351.9,1310.82,2662.72,41.08
1347.88,1309.2,2657.08,38.68
1341.43,1301.95,2643.38,39.48
1299.54,1295.51,2595.05,4.03
1312.43,1304.37,2616.8,8.06
1301.95,1294.7,2596.65,7.25
1306.79,1290.67,2597.46,16.12
1316.46,1289.87,2606.33,26.59
1325.32,1301.95,2627.27,23.37
1326.12,1300.34,2626.46,25.78
1335.79,1305.98,2641.77,29.81
1465.5,1293.9,2759.4,171.6
1578.3,1261.67,2839.97,316.63
1622.61,1210.11,2832.72,412.5
1641.14,1201.25,2842.39,439.89
1636.3,1201.25,2837.55,435.05
1635.5,1199.63,2835.13,435.87
1623.41,1198.83,2822.24,424.58
1616.97,1206.08,2823.05,410.89
1611.33,1214.14,2825.47,397.19
1615.36,1209.3,2824.66,406.06
1612.13,1214.14,2826.27,397.99
1590.38,1230.25,2820.63,360.13
1598.44,1236.69,2835.13,361.75
1574.27,1236.69,2810.96,337.58
1580.71,1236.69,2817.4,344.02
1581.52,1252.81,2834.33,328.71
1567.82,1264.09,2831.91,303.73
1559.77,1264.09,2823.86,295.68
1555.74,1261.67,2817.41,294.07
1559.77,1305.98,2865.75,253.79
1529.15,1488.06,3017.21,41.09
1482.42,1784.55,3266.97,-302.13
1391.38,1884.45,3275.83,-493.07
1275.37,1957.76,3233.13,-682.39
1186.74,1958.57,3145.31,-771.83
1146.46,1955.35,3101.81,-808.89
1131.96,1926.34,3058.3,-794.38
1135.18,1902.98,3038.16,-767.8
1135.18,1881.23,3016.41,-746.05
1150.49,1881.23,3031.72,-730.74
1152.1,1871.56,3023.66,-719.46
1147.27,1857.86,3005.13,-710.59
1155.32,1840.94,2996.26,-685.62
1164.18,1828.86,2993.04,-664.68
1168.21,1818.38,2986.59,-650.17
1173.05,1806.3,2979.35,-633.25
1181.1,1803.08,2984.18,-621.98
1175.46,1794.21,2969.67,-618.75
1182.71,1770.85,2953.56,-588.14
1193.19,1778.1,2971.29,-584.91
1189.97,1784.55,2974.52,-594.58
1199.63,1770.85,2970.48,-571.22
1212.52,1740.23,2952.75,-527.71
1215.75,1742.65,2958.4,-526.9
1223,1739.43,2962.43,-516.43
1218.16,1722.51,2940.67,-504.35
1232.67,1720.09,2952.76,-487.42
1236.69,1740.23,2976.92,-503.54
1250.39,1714.45,2964.84,-464.06
1256.03,1711.23,2967.26,-455.2
1257.64,1700.76,2958.4,-443.12
1236.69,1688.67,2925.36,-451.98
1253.61,1666.92,2920.53,-413.31
1266.5,1685.45,2951.95,-418.95
1267.31,1676.59,2943.9,-409.28
1261.67,1674.98,2936.65,-413.31
1283.42,1662.08,2945.5,-378.66
1290.67,1662.89,2953.56,-372.22
1299.54,1649.19,2948.73,-349.65
1298.73,1648.39,2947.12,-349.66
1313.23,1642.75,2955.98,-329.52
1315.65,1634.69,2950.34,-319.04
1309.2,1634.69,2943.89,-325.49
1306.79,1625.83,2932.62,-319.04
1316.46,1621.8,2938.26,-305.34
1322.9,1612.13,2935.03,-289.23
1328.54,1604.08,2932.62,-275.54
1326.93,1605.69,2932.62,-278.76
1336.6,1607.3,2943.9,-270.7
1335.79,1606.49,2942.28,-270.7
1318.87,1592.8,2911.67,-273.93
1341.43,1602.47,2943.9,-261.04
1340.63,1600.85,2941.48,-260.22
1338.21,1596.83,2935.04,-258.62
1353.52,1593.6,2947.12,-240.08
1353.52,1587.16,2940.68,-233.64
1350.29,1581.52,2931.81,-231.23
1349.49,1598.44,2947.93,-248.95
1362.38,1584.74,2947.12,-222.36
1360.77,1571.85,2932.62,-211.08
1363.99,1578.3,2942.29,-214.31
1370.43,1583.13,2953.56,-212.7
1367.21,1585.55,2952.76,-218.34
1379.3,1576.68,2955.98,-197.38
1436.5,1555.74,2992.24,-119.24
1466.31,1584.74,3051.05,-118.43
1591.19,1587.16,3178.35,4.03
1690.28,1496.12,3186.4,194.16
1692.7,1397.02,3089.72,295.68
1690.28,1318.07,3008.35,372.21
1670.95,1306.79,2977.74,364.16
1662.89,1301.95,2964.84,360.94
1747.49,1152.91,2900.4,594.58
1816.77,1016.75,2833.52,800.02
1826.44,963.57,2790.01,862.87
1828.86,928.12,2756.98,900.74
1807.1,922.49,2729.59,884.61
1793.41,924.9,2718.31,868.51
1783.74,965.99,2749.73,817.75
1777.29,951.49,2728.78,825.8
1770.04,984.52,2754.56,785.52
1763.6,978.88,2742.48,784.72
1745.07,992.58,2737.65,752.49
1744.26,1008.69,2752.95,735.57
1750.71,1021.58,2772.29,729.13
1739.43,1018.36,2757.79,721.07
1715.26,1044.14,2759.4,671.12
1714.45,1058.64,2773.09,655.81
1714.45,1060.25,2774.7,654.2
1713.65,1069.92,2783.57,643.73
1707.2,1086.84,2794.04,620.36
1702.37,1090.87,2793.24,611.5
1679.81,1095.7,2775.51,584.11
1680.62,1108.59,2789.21,572.03
1664.5,1110.21,2774.71,554.29
1645.97,1124.71,2770.68,521.26
1668.53,1135.18,2803.71,533.35
1658.86,1121.48,2780.34,537.38
1660.47,1147.27,2807.74,513.2
1642.75,1152.1,2794.85,490.65
1647.58,1170.63,2818.21,476.95
1621.8,1181.91,2803.71,439.89
1608.91,1209.3,2818.21,399.61
1610.52,1213.33,2823.85,397.19
1607.3,1227.03,2834.33,380.27
1599.24,1223,2822.24,376.24
1587.96,1228.64,2816.6,359.32
1591.19,1236.69,2827.88,354.5
1596.83,1221.39,2818.22,375.44
1591.19,1235.08,2826.27,356.11
1584.74,1236.69,2821.43,348.05
1581.52,1231.05,2812.57,350.47
1573.46,1236.69,2810.15,336.77
1558.96,1260.06,2819.02,298.9
1571.04,1250.39,2821.43,320.65
1559.77,1276.17,2835.94,283.6
1570.24,1277.78,2848.02,292.46
1567.02,1288.26,2855.28,278.76
1550.9,1281.01,2831.91,269.89
1564.6,1301.95,2866.55,262.65
1546.07,1288.26,2834.33,257.81
1556.54,1297.12,2853.66,259.42
1546.88,1299.54,2846.42,247.34
1542.04,1310.01,2852.05,232.03
1542.85,1302.76,2845.61,240.09
1546.07,1300.34,2846.41,245.73
1534.79,1309.2,2843.99,225.59
1539.62,1313.23,2852.85,226.39
1545.26,1318.07,2863.33,227.19
1515.45,1310.82,2826.27,204.63
1536.4,1330.15,2866.55,206.25
1522.71,1338.21,2860.92,184.5
1520.29,1339.01,2859.3,181.28
1513.04,1342.24,2855.28,170.8
1508.2,1339.01,2847.21,169.19
1525.12,1348.68,2873.8,176.44
1535.6,1332.57,2868.17,203.03
1526.73,1349.49,2876.22,177.24
1524.32,1334.99,2859.31,189.33
1520.29,1355.13,2875.42,165.16
1510.62,1352.71,2863.33,157.91
1504.17,1355.93,2860.1,148.24
1520.29,1363.99,2884.28,156.3
