left,right,add,sub
1485.64,803.25,2288.89,682.39
1484.03,814.53,2298.56,669.5
1482.42,831.45,2313.87,650.97
1475.17,866.89,2342.06,608.28
1488.06,872.53,2360.59,615.53
1478.39,883.01,2361.4,595.38
1534.79,966.8,2501.59,567.99
1611.33,1039.31,2650.64,572.02
1554.93,1007.89,2562.82,547.04
1522.71,965.19,2487.9,557.52
1488.06,945.04,2433.1,543.02
1482.42,949.07,2431.49,533.35
1469.53,966.8,2436.33,502.73
1469.53,966.8,2436.33,502.73
1446.17,990.97,2437.14,455.2
1445.36,1003.86,2449.22,441.5
1451,995,2446,456
1451.81,1017.55,2469.36,434.26
1454.22,1009.5,2463.72,444.72
1460.67,1011.11,2471.78,449.56
1462.28,1026.42,2488.7,435.86
1452.61,1018.36,2470.97,434.25
1451.81,1034.47,2486.28,417.34
1456.64,1050.59,2507.23,406.05
1446.17,1052.2,2498.37,393.97
1629.86,1134.38,2764.24,495.48
1620.19,1115.04,2735.23,505.15
1521.09,1094.09,2615.18,427
1488.06,1066.7,2554.76,421.36
1456.64,1068.31,2524.95,388.33
1538.01,941.02,2479.03,596.99
1559.77,913.62,2473.39,646.15
1550.9,920.87,2471.77,630.03
1539.62,939.4,2479.02,600.22
1533.98,953.91,2487.89,580.07
1513.04,957.13,2470.17,555.91
1533.98,961.96,2495.94,572.02
1529.15,974.05,2503.2,555.1
1538.01,986.94,2524.95,551.07
1533.98,998.22,2532.2,535.76
1533.18,1018.36,2551.54,514.82
1548.49,1048.17,2596.66,500.32
1622.61,1176.27,2798.88,446.34
1542.04,1150.49,2692.53,391.55
1503.37,1093.29,2596.66,410.08
1484.84,1090.06,2574.9,394.78
1476.78,1086.04,2562.82,390.74
1463.89,1079.59,2543.48,384.3
1452.61,1095.7,2548.31,356.91
1446.17,1083.62,2529.79,362.55
1454.22,1095.7,2549.92,358.52
1456.64,1101.34,2557.98,355.3
1451.81,1114.23,2566.04,337.58
1397.02,2027.86,3424.88,-630.84
1438.11,1670.95,3109.06,-232.84
1475.17,1123.1,2598.27,352.07
1468.73,1082.81,2551.54,385.92
1433.28,1098.12,2531.4,335.16
1442.94,1118.26,2561.2,324.68
1460.67,1173.85,2634.52,286.82
1564.6,1236.69,2801.29,327.91
1513.84,1174.66,2688.5,339.18
1459.86,1165.8,2625.66,294.06
1449.39,1134.38,2583.77,315.01
1442.14,1147.27,2589.41,294.87
1441.33,1146.46,2587.79,294.87
1436.5,1130.35,2566.85,306.15
1438.92,1162.57,2601.49,276.35
1425.22,1166.6,2591.82,258.62
1422,1158.54,2580.54,263.46
1417.16,1159.35,2576.51,257.81
1420.39,1174.66,2595.05,245.73
1415.55,1182.71,2598.26,232.84
1409.11,1189.16,2598.27,219.95
1405.08,1181.1,2586.18,223.98
1401.05,1199.63,2600.68,201.42
1438.92,1219.78,2658.7,219.14
1513.84,1299.54,2813.38,214.3
1445.36,1236.69,2682.05,208.67
1434.08,1234.28,2668.36,199.8
1406.69,1236.69,2643.38,170
1419.58,1236.69,2656.27,182.89
1405.08,1236.69,2641.77,168.39
1452.61,1202.86,2655.47,249.75
1455.83,1201.25,2657.08,254.58
1448.58,1191.58,2640.16,257
1443.75,1199.63,2643.38,244.12
1445.36,1207.69,2653.05,237.67
1442.14,1199.63,2641.77,242.51
1436.5,1202.05,2638.55,234.45
1431.67,1216.55,2648.22,215.12
1403.47,1250.39,2653.86,153.08
1379.3,1272.14,2651.44,107.16
1392.99,1276.17,2669.16,116.82
1383.33,1262.48,2645.81,120.85
1471.95,1355.93,2827.88,116.02
1482.42,1353.52,2835.94,128.9
1439.72,1333.37,2773.09,106.35
1442.94,1335.79,2778.73,107.15
1422.8,1327.73,2750.53,95.07
1431.67,1322.9,2754.57,108.77
1409.91,1327.73,2737.64,82.18
1405.88,1317.26,2723.14,88.62
1416.36,1319.68,2736.04,96.68
1390.58,1317.26,2707.84,73.32
1392.19,1318.87,2711.06,73.32
1379.3,1306.79,2686.09,72.51
1380.1,1313.23,2693.33,66.87
1376.07,1301.95,2678.02,74.12
1379.3,1287.45,2666.75,91.85
1375.27,1301.95,2677.22,73.32
1368.82,1301.15,2669.97,67.67
1380.91,1309.2,2690.11,71.71
1379.3,1300.34,2679.64,78.96
1384.94,1301.95,2686.89,82.99
1468.73,1376.07,2844.8,92.66
1431.67,1362.38,2794.05,69.29
1392.99,1325.32,2718.31,67.67
1390.58,1310.82,2701.4,79.76
1388.16,1322.9,2711.06,65.26
1377.69,1325.32,2703.01,52.37
1380.91,1314.04,2694.95,66.87
1380.91,1326.12,2707.03,54.79
1371.24,1307.59,2678.83,63.65
1366.41,1325.32,2691.73,41.09
1361.57,1326.12,2687.69,35.45
1361.57,1327.73,2689.3,33.84
1368.02,1324.51,2692.53,43.51
1379.3,1326.12,2705.42,53.18
1378.49,1327.73,2706.22,50.76
1378.49,1340.63,2719.12,37.86
