right,left
509.18,528.52
538.18,550.27
555.1,560.74
580.08,554.3
594.58,530.93
615.53,522.88
633.25,534.16
655.81,558.33
670.31,562.35
685.62,549.46
708.98,559.13
729.13,567.19
741.21,554.3
757.32,528.52
773.44,523.68
786.33,545.43
800.83,560.74
820.97,556.71
833.06,543.02
850.78,523.68
858.84,528.52
876.56,547.85
887.84,559.13
905.57,548.66
907.18,531.74
929.74,528.52
937.79,542.21
950.68,557.52
958.74,555.1
970.83,542.21
986.94,528.52
983.72,528.52
1003.05,549.46
1015.94,558.33
1027.22,554.3
1036.08,535.77
1047.36,528.52
1048.97,559.13
1061.87,551.07
1065.89,531.74
1073.95,528.52
1092.48,545.43
1097.31,530.13
1111.82,529.32
1119.87,547.85
1123.9,557.52
1131.96,541.41
1147.27,555.91
1142.43,556.71
1152.1,543.02
1164.99,528.52
1162.57,528.52
1176.27,546.24
1180.3,557.52
1191.58,554.3
1193.99,536.57
1201.25,526.1
1203.66,532.54
1218.97,554.3
1213.33,559.13
1218.97,549.46
1226.22,529.32
1235.08,529.32
1236.69,549.46
1236.69,562.35
1256.03,558.33
1257.64,546.24
1263.28,530.93
1264.89,536.57
1274.56,554.3
1276.17,560.74
1283.42,554.3
1289.06,557.52
1289.06,563.96
1297.12,554.3
1298.73,537.38
1301.95,567.19
1310.82,554.3
1309.2,534.96
1313.23,563.16
1325.32,555.1
1319.68,538.99
1327.73,529.32
1327.73,541.41
1335.79,556.71
1338.21,563.96
1338.21,551.88
1341.43,531.74
1346.26,528.52
1347.88,543.02
1352.71,557.52
1357.54,557.52
1353.52,543.82
1360.77,530.13
1355.93,539.79
1368.02,554.3
1366.41,567.19
1374.46,554.3
1373.66,536.57
1377.69,530.13
1376.88,547.85
1379.3,559.13
1379.3,572.02
1384.13,528.52
1384.94,541.41
1389.77,557.52
1393.8,567.19
1397.83,554.3
1394.6,530.13
1401.86,528.52
1401.05,549.46
1401.05,567.19
1407.5,560.74
1405.08,541.41
1409.11,528.52
1402.66,532.54
1409.91,555.91
1407.5,567.19
1408.3,557.52
1413.13,534.96
1417.97,528.52
1422,546.24
1417.97,549.46
1421.19,525.29
1413.94,528.52
1422,551.07
1430.86,531.74
1428.44,554.3
1426.83,567.19
1432.47,562.35
1428.44,541.41
1430.86,528.52
1429.25,568.8
1430.86,551.07
1433.28,528.52
1430.86,530.13
1438.11,554.3
1434.89,567.19
1444.56,560.74
1438.92,536.57
1442.94,528.52
1442.14,541.41
1444.56,562.35
1439.72,563.96
1442.94,548.66
1447.78,528.52
1442.14,528.52
1451.81,547.85
1450.2,559.13
1452.61,554.3
1446.17,542.21
1452.61,530.13
1445.36,541.41
