right,left
516.43,525.29
534.96,515.62
554.3,522.88
577.66,534.96
592.97,538.99
615.53,530.13
633.25,515.62
657.42,515.62
670.31,528.52
686.43,541.41
708.98,541.41
725.1,528.52
737.99,515.62
750.07,517.24
773.44,535.77
781.49,544.63
806.47,541.41
821.78,518.85
837.89,515.62
848.36,528.52
862.06,542.21
878.17,515.62
887.84,523.68
905.57,538.99
908.79,543.02
928.12,534.96
939.4,515.62
953.91,515.62
962.77,526.9
966.8,541.41
983.72,537.38
992.58,526.1
1007.08,515.62
1011.91,518.04
1028.03,534.96
1041.72,543.82
1044.14,541.41
1044.95,522.07
1066.7,518.04
1073.14,528.52
1082.81,541.41
1084.42,541.41
1095.7,532.54
1106.18,517.24
1106.98,522.07
1123.1,531.74
1130.35,547.85
1142.43,544.63
1146.46,528.52
1151.29,515.62
1158.54,525.29
1173.05,534.16
1175.46,533.35
1184.33,534.96
1194.8,542.21
1198.83,539.79
1206.88,534.16
1211.72,543.02
1219.78,528.52
1224.61,543.82
1224.61,522.07
1236.69,552.69
1236.69,526.9
1236.69,554.3
1262.48,525.29
1260.06,554.3
1270.53,520.46
1272.14,554.3
1278.59,522.88
1287.45,528.52
1287.45,554.3
1292.29,525.29
1300.34,554.3
1301.15,523.68
1313.23,551.07
1306.79,524.49
1314.04,546.24
1319.68,549.46
1324.51,532.54
1326.93,543.02
1327.73,528.52
1338.21,547.85
1334.99,554.3
1341.43,515.62
1343.04,544.63
1349.49,515.62
1351.9,543.02
1351.9,523.68
1355.93,543.02
1360.77,528.52
1361.57,544.63
1363.18,531.74
1374.46,541.41
1366.41,538.99
1378.49,538.18
1376.88,536.57
1379.3,528.52
1381.71,543.02
1379.3,523.68
1392.19,543.82
1378.49,515.62
1388.16,551.07
1395.41,522.07
1389.77,551.88
1397.02,517.24
1397.83,554.3
1403.47,518.85
1401.86,554.3
1404.27,518.85
1405.08,554.3
1405.08,522.88
1409.91,550.27
1415.55,543.02
1417.16,541.41
1418.77,534.96
1417.16,543.02
1417.97,531.74
1423.61,546.24
1421.19,523.68
1428.44,543.02
1418.77,518.85
1430.05,543.02
1428.44,515.62
1430.86,545.43
1433.28,515.62
1430.86,554.3
1434.89,515.62
1430.86,552.69
1438.11,515.62
1435.69,551.07
1442.94,522.07
1439.72,551.88
1438.92,525.29
