right,left
515.62,530.13
533.35,515.62
557.52,515.62
572.83,530.13
596.19,544.63
618.75,541.41
631.64,533.35
654.2,550.27
663.87,528.52
690.45,541.41
708.98,546.24
723.49,541.41
739.6,528.52
760.55,525.29
773.44,538.18
786.33,554.3
799.22,549.46
816.14,534.96
837.89,517.24
842.72,519.65
864.48,538.18
884.62,544.63
892.68,543.02
899.12,528.52
915.23,522.07
928.12,530.13
941.02,547.85
949.07,546.24
966.8,533.35
977.27,515.62
981.3,515.62
995,533.35
1003.86,547.85
1019.97,543.02
1023.19,526.9
1036.08,517.24
1040.11,522.88
1057.84,541.41
1065.09,522.07
1069.92,522.07
1095.7,541.41
1093.29,551.07
1104.57,544.63
1106.18,528.52
1116.65,519.65
1123.1,528.52
1131.96,538.18
1138.4,522.88
1147.27,522.07
1147.27,534.96
1161.77,551.88
1173.85,544.63
1173.05,536.57
1184.33,525.29
1181.1,528.52
1198.83,541.41
1198.83,549.46
1208.5,541.41
1210.91,522.07
1224.61,522.07
1226.22,534.96
1232.67,547.85
1234.28,544.63
1236.69,533.35
1236.69,523.68
1236.69,525.29
1260.86,541.41
1271.34,549.46
1276.17,561.55
1277.78,541.41
1281.81,515.62
1287.45,515.62
1291.48,534.96
1289.06,547.85
1305.18,542.21
1298.73,528.52
1307.59,529.32
1313.23,522.88
1318.87,534.96
1328.54,551.07
1326.12,544.63
1326.93,529.32
1330.15,517.24
1327.73,523.68
1339.82,542.21
1340.63,554.3
1347.88,544.63
1343.04,525.29
1347.88,549.46
1351.1,534.96
1354.32,515.62
1353.52,518.04
1365.6,537.38
1365.6,551.07
1368.82,541.41
1368.82,528.52
1372.05,518.85
1374.46,526.9
1380.91,541.41
1379.3,531.74
1381.71,549.46
1384.94,548.66
1380.91,531.74
1380.91,522.07
1384.94,526.9
1392.19,543.82
1392.19,554.3
1396.22,545.43
1392.99,528.52
1403.47,524.49
1402.66,534.96
1402.66,551.07
1402.66,554.3
1400.24,541.41
1405.08,528.52
1402.66,525.29
1410.72,542.21
1412.33,552.69
1416.36,544.63
1410.72,533.35
1417.16,518.85
1413.13,528.52
1423.61,544.63
1418.77,551.07
1419.58,536.57
1422.8,522.88
1426.83,517.24
1429.25,534.16
1427.64,547.85
1430.86,525.29
1430.86,528.52
1431.67,536.57
1431.67,518.85
1429.25,520.46
1434.89,541.41
1434.89,548.66
1442.94,541.41
1438.92,528.52
1442.14,518.04
1444.56,528.52
1442.94,543.02
1438.92,547.85
1446.17,536.57
1442.94,522.07
1442.94,522.07
1443.75,533.35
1448.58,546.24
1451.81,548.66
1443.75,530.13
1442.94,522.88
1443.75,523.68
1452.61,541.41
1448.58,547.85
1456.64,538.99
1456.64,541.41
1453.42,522.07
1447.78,522.07
1455.83,538.18
1456.64,548.66
1452.61,522.07
1456.64,533.35
1456.64,547.85
1460.67,544.63
1456.64,528.52
1461.47,515.62
1448.58,518.85
1462.28,536.57
1462.28,548.66
1463.89,539.79
1460.67,554.3
1467.92,543.02
1459.06,528.52
1466.31,517.24
1460.67,528.52
1470.34,545.43
1460.67,552.69
1466.31,538.99
1462.28,525.29
1467.92,520.46
1467.11,534.96
1467.11,548.66
1473.56,544.63
1467.92,530.13
1467.11,517.24
1460.67,523.68
1469.53,541.41
1467.92,552.69
1471.95,542.21
1469.53,528.52
1471.14,551.88
1467.11,548.66
1471.95,536.57
1471.95,522.07
1464.7,524.49
1475.17,541.41
1471.14,545.43
1476.78,541.41
1471.14,528.52
1478.39,517.24
1472.75,525.29
1473.56,543.82
1471.14,547.85
1471.95,535.77
1474.37,520.46
1480,518.85
1478.39,533.35
1476.78,547.85
1482.42,545.43
1474.37,531.74
1476.78,525.29
1474.37,529.32
1480,546.24
1478.39,554.3
1481.62,545.43
1472.75,526.1
1478.39,549.46
1472.75,542.21
1478.39,533.35
1476.78,520.46
1476.78,554.3
1480,537.38
1476.78,522.88
1482.42,520.46
1482.42,534.96
1482.42,547.85
1482.42,546.24
1478.39,530.13
1475.17,518.85
1475.17,525.29
1482.42,541.41
1475.17,545.43
1478.39,525.29
1482.42,543.02
1480.81,547.85
1475.17,526.1
1481.62,541.41
1480,549.46
1483.23,543.02
1487.26,528.52
1482.42,522.07
1478.39,528.52
1482.42,541.41
1479.2,547.05
1482.42,536.57
1482.42,523.68
1484.03,524.49
1483.23,534.96
1482.42,546.24
1484.84,543.02
1482.42,541.41
1484.03,523.68
1478.39,523.68
1482.42,543.02
1470.34,554.3
1483.23,549.46
1481.62,530.13
1483.23,520.46
1482.42,528.52
1484.03,549.46
1480,552.69
1482.42,543.02
1482.42,528.52
1487.26,522.88
1482.42,532.54
1481.62,544.63
1486.45,541.41
1481.62,528.52
1482.42,519.65
1481.62,524.49
1484.03,538.18
1482.42,544.63
1484.84,542.21
1482.42,530.13
1490.48,522.07
1482.42,536.57
1476.78,548.66
1480.81,551.07
1482.42,541.41
1484.03,528.52
1482.42,554.3
1483.23,542.21
1484.03,528.52
1484.84,519.65
1491.28,530.13
1482.42,541.41
1490.48,542.21
1482.42,530.13
1485.64,523.68
1478.39,523.68
1482.42,534.96
1482.42,541.41
1486.45,538.99
1483.23,528.52
1483.23,522.88
1482.42,528.52
1487.26,542.21
1482.42,544.63
1484.84,531.74
1484.84,520.46
1482.42,549.46
1491.28,541.41
1482.42,528.52
1484.84,518.04
1480,528.52
1485.64,545.43
1485.64,551.07
1483.23,541.41
1484.84,528.52
1490.48,555.91
1480.81,528.52
1488.87,541.41
1485.64,545.43
1488.06,538.99
1485.64,536.57
1484.84,546.24
1490.48,544.63
1483.23,530.13
1488.06,522.07
1482.42,528.52
1488.06,547.85
1482.42,548.66
1486.45,542.21
1483.23,528.52
1491.28,518.85
1484.84,530.13
1485.64,545.43
1483.23,544.63
1482.42,529.32
1486.45,522.88
1486.45,549.46
1484.84,529.32
1486.45,528.52
1484.03,534.96
1487.26,549.46
1478.39,545.43
1484.03,541.41
1484.03,524.49
1481.62,526.9
1488.06,541.41
1484.03,529.32
1485.64,525.29
1486.45,536.57
1486.45,548.66
1486.45,546.24
1484.84,536.57
1483.23,522.07
1478.39,525.29
1484.03,541.41
1482.42,554.3
1487.26,543.82
1483.23,528.52
1484.84,523.68
1486.45,530.13
1488.06,547.85
1482.42,546.24
1483.23,541.41
1488.06,526.9
1484.84,525.29
1488.06,538.18
1482.42,551.07
1491.28,544.63
1484.84,532.54
1491.28,528.52
1478.39,530.13
1492.9,548.66
1484.03,554.3
1488.06,544.63
1487.26,529.32
1490.48,528.52
1486.45,536.57
1486.45,533.35
1488.06,528.52
1486.45,532.54
1489.67,543.02
1486.45,544.63
1484.84,538.18
1483.23,526.1
1489.67,518.85
1484.84,534.96
1488.06,545.43
1492.09,546.24
1482.42,534.96
1486.45,525.29
1482.42,549.46
1481.62,528.52
1489.67,542.21
1490.48,551.07
1486.45,541.41
1488.06,528.52
1489.67,525.29
1485.64,533.35
1484.84,549.46
1489.67,528.52
1482.42,530.13
1487.26,543.82
1484.03,544.63
1484.84,534.16
1486.45,525.29
1490.48,522.88
1486.45,537.38
1482.42,532.54
1488.06,525.29
1484.03,528.52
1486.45,541.41
1482.42,541.41
1482.42,531.74
1484.84,518.85
1482.42,518.04
1484.03,528.52
1488.06,522.07
1486.45,528.52
1484.84,542.21
1484.84,544.63
1484.03,533.35
1483.23,525.29
1480,528.52
1487.26,543.02
1485.64,551.88
1490.48,544.63
1482.42,528.52
1486.45,517.24
1484.84,528.52
1487.26,546.24
1482.42,548.66
1482.42,539.79
1483.23,525.29
1489.67,520.46
1484.03,531.74
1484.84,544.63
1491.28,541.41
1484.03,528.52
1488.06,541.41
1482.42,541.41
1484.84,531.74
1483.23,522.88
1482.42,528.52
1484.84,542.21
1485.64,547.85
1495.31,541.41
1486.45,528.52
1488.06,520.46
1484.03,528.52
1485.64,543.02
1483.23,549.46
1486.45,541.41
1484.03,524.49
1488.06,520.46
1483.23,541.41
1486.45,554.3
1492.9,551.88
1483.23,537.38
1487.26,522.07
1481.62,528.52
1486.45,541.41
1486.45,547.85
1483.23,536.57
1483.23,528.52
1488.06,523.68
1484.03,536.57
1484.84,552.69
1485.64,555.1
1489.67,541.41
1484.03,528.52
1486.45,515.62
1483.23,526.1
1486.45,541.41
1485.64,541.41
1484.84,523.68
1488.06,539.79
1484.03,551.07
1491.28,548.66
1488.06,538.18
1486.45,554.3
1482.42,551.88
1484.84,536.57
1484.84,526.1
1482.42,525.29
1488.06,541.41
1484.84,547.85
1494.51,541.41
1482.42,531.74
1490.48,525.29
1485.64,528.52
1487.26,547.85
1483.23,549.46
1484.03,541.41
1486.45,526.1
1488.06,525.29
1488.06,535.77
1488.06,525.29
1492.09,548.66
1482.42,533.35
1488.06,523.68
1482.42,528.52
1488.06,543.02
1484.03,549.46
1482.42,542.21
1484.84,528.52
1487.26,520.46
1486.45,528.52
