right,left
509.99,554.3
541.41,551.07
554.3,530.13
576.86,518.85
592.97,528.52
618.75,547.85
631.64,551.07
646.95,534.96
663.87,518.85
679.98,519.65
704.15,539.79
721.87,554.3
739.6,554.3
749.27,530.13
769.41,518.85
779.08,528.52
800.83,549.46
813.72,554.3
830.64,541.41
845.95,522.88
859.64,522.07
870.92,538.99
889.45,554.3
896.7,554.3
915.23,541.41
924.9,554.3
932.96,555.1
953.91,554.3
961.96,558.33
974.85,545.43
982.91,523.68
995.8,522.88
1003.05,541.41
1014.33,560.74
1032.06,554.3
1034.47,541.41
1044.95,519.65
1051.39,525.29
1068.31,543.02
1069.92,554.3
1077.98,544.63
1088.45,528.52
1097.31,559.13
1103.76,554.3
1115.84,538.18
1123.1,522.88
1125.51,528.52
1137.6,550.27
1140.01,555.91
1158.54,551.07
1157.74,529.32
1169.02,523.68
1175.46,536.57
1181.1,554.3
1183.52,554.3
1189.97,534.96
1198.83,554.3
1200.44,554.3
1211.72,542.21
1217.36,524.49
1224.61,526.9
1228.64,541.41
1233.47,555.1
1236.69,552.69
1250.39,534.96
1253.61,521.26
1253.61,528.52
1268.12,549.46
1265.7,554.3
1274.56,544.63
1276.17,528.52
1284.23,525.29
1286.65,541.41
1293.09,557.52
1297.92,554.3
1293.09,538.18
1301.95,523.68
1314.84,559.13
1303.56,539.79
1315.65,559.13
1311.62,554.3
1322.09,541.41
1327.73,525.29
1325.32,528.52
1333.37,547.85
1338.21,563.96
1339.01,538.18
1343.85,526.1
1344.65,534.96
1351.1,554.3
1349.49,554.3
1353.52,542.21
1356.74,522.07
1360.77,522.07
1368.02,541.41
1365.6,555.91
1371.24,551.07
1368.82,531.74
1378.49,528.52
1376.07,530.13
1379.3,549.46
1379.3,554.3
1383.33,543.82
1380.1,526.9
1391.38,522.07
1390.58,538.99
1390.58,554.3
1392.19,535.77
1400.24,554.3
1392.99,554.3
1396.22,541.41
1399.44,520.46
1397.83,526.9
1403.47,543.02
1405.08,555.91
1409.11,526.1
1409.91,539.79
1410.72,554.3
1420.39,552.69
1414.75,532.54
1417.16,522.88
1410.72,528.52
1422,547.85
1420.39,554.3
1419.58,544.63
1422.8,528.52
1422.8,558.33
1426.83,554.3
1426.03,534.96
1430.86,519.65
1427.64,528.52
1434.89,544.63
1430.86,554.3
1432.47,546.24
1430.05,528.52
1434.89,522.07
1433.28,535.77
1437.3,551.88
1432.47,549.46
1438.11,536.57
1441.33,522.88
1430.86,525.29
1443.75,543.02
1443.75,554.3
1446.17,545.43
1444.56,544.63
1445.36,554.3
1455.03,551.07
1446.17,530.93
1451,519.65
1443.75,528.52
1451,549.46
1451.81,555.1
1455.83,541.41
1454.22,554.3
1446.17,554.3
1456.64,542.21
1456.64,549.46
1455.83,554.3
1455.03,541.41
1455.83,522.88
1460.67,522.07
1459.86,533.35
1456.64,554.3
1459.06,554.3
1456.64,535.77
1456.64,519.65
1458.25,523.68
1464.7,546.24
1456.64,554.3
1461.47,549.46
1461.47,526.9
1467.92,519.65
1463.89,531.74
1461.47,551.88
1457.45,552.69
1467.11,554.3
1470.34,548.66
1462.28,531.74
1468.73,520.46
1463.89,528.52
1468.73,554.3
1467.11,555.91
1467.92,544.63
1467.92,523.68
1459.06,523.68
1468.73,541.41
1469.53,554.3
1471.95,536.57
1467.11,555.91
1467.11,554.3
1471.14,538.99
1473.56,522.07
1468.73,522.88
1470.34,543.02
1469.53,554.3
1475.17,549.46
1471.95,526.9
1475.17,518.85
1476.78,534.96
1474.37,556.71
1470.34,556.71
1480.81,538.99
1477.59,522.07
1469.53,528.52
1479.2,547.85
1473.56,530.13
1471.14,528.52
1475.17,545.43
1470.34,555.91
1478.39,528.52
1470.34,532.54
1482.42,554.3
1475.17,558.33
1480,545.43
1466.31,528.52
1481.62,528.52
1480,543.02
1481.62,557.52
1484.03,554.3
1475.17,541.41
1480.81,528.52
1475.98,534.96
1481.62,554.3
1477.59,558.33
1482.42,544.63
1480.81,528.52
1482.42,522.88
1482.42,538.18
1480,554.3
1485.64,552.69
1476.78,537.38
1482.42,555.91
1486.45,547.85
1480,529.32
1482.42,518.85
1482.42,528.52
1481.62,532.54
1482.42,554.3
1481.62,554.3
1481.62,538.18
1481.62,520.46
1478.39,523.68
1482.42,543.02
1482.42,560.74
1488.06,554.3
1480,534.96
1484.03,526.9
1481.62,534.96
1487.26,549.46
1482.42,551.88
1482.42,541.41
1480,522.07
1480,523.68
1482.42,541.41
1482.42,555.91
1488.06,554.3
1482.42,535.77
1484.03,523.68
1482.42,528.52
1484.03,549.46
1471.95,554.3
1482.42,541.41
1482.42,528.52
1482.42,530.13
1482.42,547.85
1486.45,530.93
1486.45,528.52
1482.42,541.41
1484.03,528.52
1483.23,534.96
1484.03,549.46
1483.23,551.88
1482.42,536.57
1482.42,519.65
1482.42,522.07
1488.06,541.41
1482.42,554.3
1487.26,548.66
1484.84,532.54
1484.03,526.1
1483.23,533.35
1484.84,555.1
1481.62,557.52
1480.81,549.46
1482.42,528.52
1483.23,528.52
1482.42,548.66
1488.06,560.74
1489.67,554.3
1482.42,534.96
1486.45,522.07
1482.42,528.52
1486.45,548.66
1482.42,525.29
1488.06,523.68
1486.45,549.46
1483.23,528.52
1486.45,518.85
1484.03,534.16
1480.81,554.3
1479.2,552.69
1484.84,536.57
1484.03,519.65
1480.81,526.9
1484.03,544.63
1484.84,555.1
1484.84,547.85
1487.26,549.46
1483.23,556.71
1485.64,543.82
1484.03,528.52
1488.06,528.52
1486.45,541.41
1482.42,561.55
1483.23,529.32
1483.23,535.77
1484.84,554.3
1482.42,560.74
1482.42,547.85
1484.84,528.52
1483.23,528.52
1484.84,551.07
1486.45,560.74
1490.48,554.3
1482.42,538.18
1487.26,562.35
1487.26,554.3
1483.23,534.96
1487.26,526.1
1477.59,533.35
1486.45,554.3
1484.84,561.55
1486.45,551.07
1482.42,528.52
1486.45,518.85
1485.64,536.57
1482.42,554.3
1482.42,554.3
1484.03,541.41
1481.62,525.29
1480.81,523.68
1488.87,544.63
1486.45,555.91
1490.48,554.3
1484.84,536.57
1490.48,528.52
1484.84,541.41
1488.06,528.52
1484.03,528.52
1486.45,547.05
1483.23,549.46
1492.09,541.41
1484.03,526.1
1492.09,523.68
1484.84,538.18
1486.45,530.93
1491.28,523.68
1484.84,533.35
1486.45,554.3
1482.42,551.07
1483.23,541.41
1487.26,528.52
1480.81,528.52
1488.06,548.66
1485.64,555.91
1490.48,547.05
1484.03,528.52
1489.67,525.29
1488.06,530.13
1487.26,554.3
1483.23,556.71
1486.45,544.63
1487.26,528.52
1481.62,529.32
1486.45,547.85
1494.51,555.91
1489.67,554.3
1483.23,541.41
1487.26,554.3
1483.23,554.3
1485.64,541.41
1484.84,523.68
1487.26,522.07
1487.26,541.41
1487.26,528.52
1482.42,559.13
1486.45,545.43
1483.23,525.29
1490.48,522.07
1486.45,538.18
1484.03,554.3
1487.26,552.69
1487.26,534.96
1486.45,554.3
1483.23,554.3
1484.03,541.41
1491.28,519.65
1482.42,522.88
1489.67,548.66
1488.06,557.52
1492.9,551.07
1486.45,531.74
1486.45,525.29
1488.06,534.96
1484.84,554.3
1482.42,557.52
1483.23,546.24
1484.84,528.52
1483.23,526.1
1487.26,545.43
1484.03,557.52
1494.51,549.46
1484.84,530.13
1487.26,519.65
1484.03,528.52
1499.34,541.41
1485.64,521.26
1481.62,528.52
1488.06,548.66
1486.45,562.35
1492.9,554.3
1484.84,531.74
1490.48,518.85
1486.45,531.74
1486.45,551.07
1482.42,552.69
1484.03,538.18
1489.67,555.91
1484.84,541.41
1482.42,520.46
1489.67,518.85
1488.06,538.99
1484.84,557.52
1494.51,554.3
1484.84,531.74
1489.67,515.62
1482.42,525.29
1484.84,547.05
1484.03,555.1
1486.45,543.02
1482.42,522.07
1488.06,517.24
1483.23,536.57
1491.28,555.91
1486.45,555.1
1485.64,541.41
1484.84,562.35
1482.42,557.52
1486.45,542.21
1490.48,519.65
1482.42,518.85
1494.51,545.43
1486.45,561.55
1493.7,554.3
1482.42,535.77
1486.45,518.85
1486.45,528.52
1484.84,554.3
1484.03,554.3
1484.84,541.41
1488.06,555.91
1484.03,525.29
1482.42,526.9
1486.45,545.43
1484.84,558.33
1492.9,554.3
1486.45,531.74
1489.67,522.07
1481.62,531.74
1490.48,554.3
1486.45,560.74
1488.06,547.85
1492.9,554.3
1484.84,552.69
1488.06,547.85
1484.84,530.13
1484.03,558.33
1491.28,554.3
1484.03,535.77
1488.06,528.52
1484.03,535.77
1489.67,554.3
1483.23,555.1
1487.26,545.43
1481.62,528.52
1487.26,528.52
1488.06,541.41
1486.45,551.88
1494.51,544.63
1486.45,531.74
1487.26,521.26
1482.42,528.52
1483.23,543.02
1486.45,549.46
1489.67,543.02
1484.03,523.68
1489.67,522.88
1486.45,536.57
1486.45,548.66
