start,,,
right,left,lighting led pin,
883.01,3109.06,0,0
898.32,3092.94,0,242
895.9,3099.39,0,131350
897.51,3092.94,0,262340
965.19,3212.18,0,393336
902.34,3092.94,0,524340
895.9,3063.94,0,655336
889.45,3076.83,0,786340
889.45,3086.5,0,917356
886.23,3092.94,0,1048380
879.79,3107.45,0,1186544
893.48,3080.05,0,1317360
902.34,3092.94,0,1448326
892.68,3092.94,0,1579286
888.65,3092.94,0,1710271
882.2,3099.39,0,1841307
883.01,3112.28,0,1972336
889.45,3092.94,0,2109833
878.17,3086.5,0,2240282
883.01,3092.94,0,2378172
890.26,3101.81,0,2509326
880.59,3099.39,0,2640329
884.62,3092.94,0,2771316
884.62,3092.14,0,2902411
866.89,3089.72,0,3033377
873.34,3067.16,0,3164445
882.2,3067.16,0,3295336
871.73,3054.27,0,3426392
882.2,3059.11,0,3557336
883.01,3047.83,0,3688320
876.56,3041.38,0,3819293
881.4,3060.72,0,3950360
876.56,3054.27,0,4081346
878.17,3047.83,0,4212307
886.23,3041.38,0,4343346
883.01,3055.88,0,4469422
883.01,3060.72,0,4600283
884.62,3034.94,0,4731349
891.06,3033.33,0,4870201
892.68,3028.49,0,5001349
880.59,3067.16,0,5141947
887.04,3052.66,0,5272296
887.04,3047.83,0,5403306
889.45,3038.16,0,5534319
889.45,3041.38,0,5665295
894.29,3022.05,0,5796296
891.06,3034.94,0,5927348
894.29,3054.27,0,6058390
889.45,3009.16,0,6189337
889.45,3028.49,0,6320296
890.26,3031.71,0,6451317
889.45,3041.38,0,6582297
880.59,3034.94,0,6719682
877.37,3031.71,0,6850319
889.45,3009.16,0,6981295
895.9,3031.71,0,7112296
889.45,3028.49,0,7243295
895.09,3025.27,0,7374296
890.26,3041.38,0,7505295
891.06,3059.11,0,7636296
899.12,3054.27,2,7767295
890.26,3047.83,2,7898296
895.9,3047.83,2,8029337
883.01,3022.05,2,8160296
863.67,3004.32,2,8291295
863.67,2970.48,2,8422349
863.67,2964.04,2,8553317
864.48,2957.59,2,8684348
863.67,2957.59,2,8815283
870.12,2931.81,2,8946359
852.39,2951.15,2,9083829
850.78,2951.15,2,9214296
852.39,2947.92,2,9345348
873.34,2957.59,2,9476285
864.48,2954.37,2,9607337
870.92,2944.7,2,9738296
876.56,2954.37,2,9869348
876.56,2957.59,2,10000296
887.04,2957.59,2,10131348
878.98,2964.04,2,10262349
883.81,2938.26,0,10393283
883.81,2957.59,0,10524297
865.28,3051.05,0,10655366
913.62,3047.83,0,10786305
928.12,3054.27,0,10917306
912.01,3133.23,0,11048368
902.34,3105.83,0,11179347
978.08,3144.51,0,11316754
904.76,3030.1,0,11454568
878.17,3080.05,0,11585296
890.26,3080.05,0,11716306
903.96,3081.67,0,11847296
899.12,3073.61,0,11978337
904.76,3089.72,0,12109338
917.65,3092.94,0,12240389
902.34,3117.11,0,12378096
915.23,3092.94,0,12509348
900.73,3092.94,0,12640319
915.23,3092.94,0,12771295
907.18,3086.5,0,12902319
904.76,3105.83,1,13033317
902.34,3118.73,1,13164297
895.9,3076.83,1,13295306
890.26,3073.61,1,13426349
891.87,3083.28,1,13563854
896.7,3067.16,1,13694359
902.34,3060.72,1,13825357
907.18,3081.67,1,13956349
884.62,3086.5,1,14087283
890.26,3076.83,1,14218349
889.45,3067.16,1,14349358
889.45,3067.16,1,14480296
886.23,3105.83,1,14611348
