start,,,
right,left,lighting led pin,
912.82,2496.75,0,0
903.15,2535.42,0,243
907.18,2550.73,0,117487
892.68,2599.88,0,234433
899.12,2582.96,0,351407
890.26,2596.66,0,468454
887.04,2609.55,0,591943
893.48,2612.77,0,708433
889.45,2641.77,0,825419
889.45,2680.44,0,960593
890.26,2680.44,0,1077430
887.04,2723.95,0,1194433
883.81,2719.92,0,1311406
883.81,2738.45,0,1428539
889.45,2757.79,0,1545430
910.4,2764.23,0,1662558
903.96,2783.57,0,1779406
902.34,2790.01,0,1896410
899.12,2798.07,0,2013419
899.93,2796.46,0,2130422
892.68,2827.08,0,2247407
889.45,2822.24,0,2364422
884.62,2860.91,0,2481452
891.87,2860.91,0,2604878
887.04,2928.59,0,2721484
883.81,2938.26,0,2838445
886.23,2978.54,0,2955464
883.81,3030.1,0,3072454
885.42,3102.61,0,3189483
870.92,3176.73,0,3306498
870.12,3257.3,0,3423464
866.89,3299.19,0,3540422
879.79,3299.19,0,3657406
883.01,3299.19,0,3774477
876.56,3299.19,0,3891483
870.92,3299.19,0,4008477
873.34,3299.19,0,4125463
884.62,3299.19,0,4249741
883.01,3299.19,0,4366430
876.56,3299.19,0,4483445
877.37,3299.19,0,4600430
876.56,3299.19,0,4723946
874.15,3299.19,0,4840484
876.56,3299.19,0,4957422
887.04,3299.19,0,5074494
876.56,3299.19,0,5191445
892.68,3299.19,0,5308406
876.56,3299.19,0,5425487
880.59,3299.19,0,5542473
876.56,3299.19,0,5659487
886.23,3299.19,0,5776407
889.45,3299.19,0,5893422
884.62,3299.19,0,6010406
878.17,3299.19,0,6127433
887.04,3299.19,0,6244407
890.26,3299.19,0,6361410
892.68,3299.19,0,6478430
900.73,3299.19,0,6595422
892.68,3299.19,0,6712464
895.09,3299.19,0,6835946
887.84,3299.19,1,6952406
889.45,3299.19,1,7069455
899.12,3299.19,1,7186406
889.45,3299.19,1,7303477
892.68,3299.19,1,7420419
887.84,3299.19,1,7537487
888.65,3299.19,1,7654407
889.45,3299.19,1,7771508
896.7,3299.19,1,7888464
955.52,3299.19,1,8005433
912.82,3299.19,1,8122418
878.98,3299.19,1,8246295
889.45,3299.19,1,8363473
877.37,3299.19,1,8480422
888.65,3299.19,1,8597419
889.45,3299.19,1,8714516
889.45,3299.19,1,8837968
880.59,3299.19,1,8954422
889.45,3299.19,1,9071406
887.04,3299.19,1,9188410
879.79,3299.19,0,9305406
883.01,3299.19,0,9422423
883.81,3299.19,0,9539418
886.23,3299.19,0,9656433
893.48,3299.19,0,9773464
880.59,3299.19,0,9890433
879.79,3299.19,0,10007473
889.45,3299.19,0,10124433
883.01,3299.19,0,10241484
889.45,3299.19,0,10376097
892.68,3299.19,0,10492464
880.59,3299.19,0,10609422
883.01,3299.19,0,10726484
889.45,3299.19,0,10843487
889.45,3299.19,0,10966967
